advertised_rent,posted_to_website,posted_to_internet,property,property_name,amenities,lockbox_enabled,affordable_program,address,street,street2,city,state,zip,unit,unit_tags,unit_type,bed_and_bath,sqft,unit_status,rent_ready,days_vacant,last_rent,schd_rent,new_rent,last_move_in,last_move_out,available_on,next_move_in,description,amenities_price,computed_market_rent,ready_for_showing_on,unit_turn_target_date,property_id,unit_id,contact
1850,Yes,Yes,"100 Stovall Lane (City and HOA Reg must) - 100 Stovall Lane Caddo Mills, TX 75135",100 Stovall Lane (City and HOA Reg must),,No,,"100 Stovall Lane Caddo Mills, TX 75135",100 Stovall Lane,,Caddo Mills,TX,75135,100 Stovall Lane (City and HOA Reg must),,,4/2,2096,Notice-Unrented,Yes,23,2145,1850,,2024-12-01,2026-06-30,2026-07-05,,,0,1850,2026-05-22,2026-07-10,1811,"Rana, Satakshi",Nishant Nanani: nishant@vprealtyservices.com: 903-213-3818 (#6)
1845,No,No,"10013 Lakeview Dr (City and HOA Reg must) - 10013 Lakeview Dr Providence Village, TX 76227",10013 Lakeview Dr (City and HOA Reg must),,No,,"10013 Lakeview Dr Providence Village, TX 76227",10013 Lakeview Dr,,Providence Village,TX,76227,10013 Lakeview Dr (City and HOA Reg must),,,4/2.50,2019,Vacant-Unrented,No,239,,1845,,2025-10-16,2025-10-17,,,"Go anytime for show. The house  is vacant the code is 1975.

BRAND NEW PAINT(IN PROGRESS). Beautiful 4 bedroom 2.5 bathroom, 2 living room with 2 Dining Attractive home located on a beautiful area. rare providence village gem. great covered porch and covered balcony. fireplace, 2 car garage and beautiful lot.

- Home is available immediately
- Pets are welcome ($500 refundable per pet)
- HOA is paid by owners.
- Needs to bring Washer-Dryer-Refrigerator.
- No housing vouchers, no section 8
- Longer lease is preferred
- $55 per adult application fee.
- Apply at vprealtyservices.com
- Application has to be online only at VP Realty, No Tar applications
- Mention your broker name and number in online application if applicable

If you don't see home on VP Realty website then it means it is leased.
Text 214 597 0294 or leave VM for a live agent

This is the link for the application process and qualification criteria
https://tinyurl.com/ycksezpk",0,1845,2022-09-10,2025-10-27,1363,1131,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1995,Yes,Yes,"1004 Basswood Ln Royse City, TX 75189","1004 Basswood Ln Royse City, TX 75189",,Yes,,"1004 Basswood Ln Royse City, TX 75189",1004 Basswood Ln,,Royse City,TX,75189,1004 Basswood Ln,,,4/2,2097,Vacant-Rented,Yes,59,2414.5,1995,,2024-03-07,2026-05-31,2026-06-05,2026-06-19,,0,1995,2026-04-16,2026-06-10,1619,Dharmesh Bhavsar,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075 (#11)
1850,Yes,Yes,"1004 Cotton Gin Court - 1004 Cotton Gin Court Royse City, TX 75189",1004 Cotton Gin Court,,Yes,,"1004 Cotton Gin Court Royse City, TX 75189",1004 Cotton Gin Court,,Royse City,TX,75189,1004 Cotton Gin Court,,,4/2,1875,Vacant-Unrented,No,64,2152,1850,,2023-10-20,2026-04-01,2026-04-11,,"Anjali Sangtani, anjali@vprealtyservices.com, 972-591-8075
https://www.vprealtyservices.com/listings/detail/d79b5747-26eb-44b3-a0a5-2b4705861546",0,1850,2026-04-11,2026-04-11,1520,"Rangaswamy, Tharakesh",Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075 (#11)
2095,No,No,"1005 Comfort Dr Forney, TX 75126  (City and HOA Reg must) - 1005 Comfort Dr Forney, TX 75126","1005 Comfort Dr Forney, TX 75126  (City and HOA Reg must)",,Yes,,"1005 Comfort Dr Forney, TX 75126",1005 Comfort Dr,,Forney,TX,75126,"1005 Comfort Dr Forney, TX 75126  (City and HOA Reg must)",,,3/2.00,1998,Vacant-Unrented,No,348,2195,2095,,2024-02-02,2025-06-30,2025-07-10,,"Go and see, the home is vacant. The lockbox code is (1975). Please keep the key from where it has been taken to see the house. If you have an agent you can schedule the appointment with Broker Bay (800 257-1242).

This 3 bedroom, 2 bathroom home with a study wonât last long! Cozy and family-oriented. Use the study as a playroom for children, an office, or as an optional 4th bedroom. The open kitchen and large living room provide great space for entertaining. The backyard offers a covered patio with a TV and a pea gravel pit that can be used as a childrenâs play area or more entertainment space. Minutes away from Heath, Rockwall, and Forney with access to highways 80 or 20. 

- Home is available immediately
- Pets are welcome ($600 non-refundable per pet)
- HOA is paid by owners.
- Washer-Dryer-Refrigerator are included.
- No housing vouchers, no section 8
- $55 per adult application fee.
- Apply at vprealtyservices.com
- Application has to be online only at VP Realty, No Tar applications
- Mention your broker name and number in the online application if applicable

(PET POLICY):
- Pets are welcome. The pet deposit is $600 for each pet, and it is non-refundable.

(REQUIREMENT):

- The Credit requirement is on a case-by-case basis. If the credit scores are lower then more deposits may be needed
- Rental history, income, background, and credit history will be verified
- Monthly income must be at least 3 times the monthly rent.

(DEPOSIT):
- The deposit is a minimum of one month's rent, subject to case-by-case evaluation and credit assessment.
- Qualification in the slides below

Please note: If the home is not listed on the VP Realty website, it means it has been leased.

Questions for this home:
Connect for info with Meghna Maherchandani: +1 (972) 591-8987 or Email: Meghna at vprealtyservices.com

To begin the application process and review the qualification criteria, please visit the following link:
https://tinyurl.com/ycksezpk

Don't miss out on this incredible opportunity to secure this beautiful new home. Apply now and make it yours!",0,2095,2025-07-10,2025-07-10,419,736,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
,No,No,"1005 Splitrock Drive Allen, TX 75013 - 1005 Splitrock Dr, Allen, TX 75013","1005 Splitrock Drive Allen, TX 75013",,No,,"1005 Splitrock Dr, Allen, TX 75013","1005 Splitrock Dr,",,Allen,TX,75013,"1005 Splitrock Drive Allen, TX 75013",,,3/3.00,2135,Vacant-Unrented,Yes,0,,,,,,,,,0,,,,2025,1790,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
,No,No,"1007 Simmental Loop, Hutto, TX 78634","1007 Simmental Loop, Hutto, TX 78634",,No,,"1007 Simmental Loop, Hutto, TX 78634","1007 Simmental Loop,",,Hutto,TX,78634,"1007 Simmental Loop,",,,4/3.00,2400,Vacant-Unrented,No,113,,,,2025-06-01,2026-02-20,2026-03-02,,,0,,2026-03-02,2026-03-02,2050,1815,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2195,No,No,"1009 Riverstone Trail, Princeton, TX 75407 - 1009 Riverstone Trail Princeton, TX 75407","1009 Riverstone Trail, Princeton, TX 75407",,No,,"1009 Riverstone Trail Princeton, TX 75407",1009 Riverstone Trail,,Princeton,TX,75407,"1009 Riverstone Trail, Princeton, TX 75407",,,5/2.00,2047,Vacant-Rented,Yes,13,2304,2195,,2024-08-20,2026-05-31,2026-06-10,2026-07-01,,0,2195,2026-04-25,2026-06-10,373,538,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
,No,No,"1013 Mesa Verde Allen - 1013 Mesa Verde Allen, TX 75002",1013 Mesa Verde Allen,,No,,"1013 Mesa Verde Allen, TX 75002",1013 Mesa Verde,,Allen,TX,75002,1013 Mesa Verde Allen,,,,,Vacant-Unrented,No,195,,,,2018-04-26,2025-11-30,2025-12-10,,,0,,2025-12-10,2025-12-10,46,5,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2895,No,No,"1024 Mufasa Lane McKinney, TX 75071   (City and HOA Reg must) - 1024 Mufasa Lane McKinney, TX 75071","1024 Mufasa Lane McKinney, TX 75071   (City and HOA Reg must)",,No,,"1024 Mufasa Lane McKinney, TX 75071",1024 Mufasa Lane,,McKinney,TX,75071,"1024 Mufasa Lane McKinney, TX 75071   (City and HOA Reg must)",,,4/3.50,3000,Vacant-Unrented,Yes,301,2960,2895,,2025-08-15,2025-08-16,2025-08-26,,,0,2895,2025-08-26,2025-08-26,1907,1673,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
